2024-08-06 13:58:44.314 | ERROR    | 4196:18368 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 13:58:47.334 | ERROR    | 4196:18368 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 13:58:50.337 | ERROR    | 4196:18368 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 13:58:53.339 | ERROR    | 4196:18368 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 13:58:56.352 | ERROR    | 4196:18368 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 14:09:15.370 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:18.386 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:21.399 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:24.404 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:27.406 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:30.415 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:33.421 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:36.426 | ERROR    | 30692:16868 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:42.759 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:45.771 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:48.773 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
